Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,4u7,C19666
"C10, C14, C4",0402,3,100n,C1525
C11,0402,1,1n,C1523
C12,0805,1,22u,C45783
"C13, C7, C9",0402,3,10n,C15195
"C5, C6",NFM21C,2,NFM21PC105B1C3D,C92518
C8,0603,1,10n C0G,C76710
D1,D_SOD-323,1,1N5819WS,C191023
"D2, D4",0603,2,LED,C72043
J2,MMCX_Molex_73415-1471_Vertical,1,RF,C530664
"L1, L2",0805,2,100u,C68035
R1,0603,1,51k,C23186
"R10, R4",0402,2,10k,C25744
"R11, R2",0603,2,1.5k,C22843
R3,0603,1,300R,C23025
R5,0402,1,49.9,C325388
R6,0402,1,100k,C25741
R8,0603,1,10,C22859
RV1,Potentiometer_Bourns_TC33X_Vertical,1,100k,C719186
U1,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042EMSE,C69847
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8015,C514255
U3,SOT-23-5,1,LM321,C471859
