Designator,Mid X,Mid Y,Rotation,Layer
C1,95.809,-91.75,270.0,top
C10,110.25,-102.75,90.0,top
C11,100.15,-104.5,0.0,top
C12,93.25,-93.5,180.0,top
C13,103.75,-101.5,90.0,top
C14,103.75,-103.5,270.0,top
C2,104.25,-95.0,270.0,top
C3,104.25,-91.224,270.0,top
C4,98.55,-108.9,270.0,top
C5,94.75,-97.25,270.0,top
C6,108.5,-95.325,270.0,top
C7,95.8,-99.4,90.0,top
C8,105.0,-97.5,0.0,top
C9,108.25,-106.5,180.0,top
D1,94.7,-101.3,180.0,top
D2,98.1,-93.9,0.0,top
D4,100.3,-110.7,180.0,top
J2,101.75,-107.5,180.0,top
L1,98.25,-95.5,180.0,top
L2,91.75,-95.5,0.0,top
R1,105.75,-95.0,270.0,top
R10,94.8,-108.15,0.0,top
R11,96.4,-109.75,180.0,top
R2,105.75,-92.0,90.0,top
R3,101.75,-95.5,180.0,top
R4,103.75,-99.5,270.0,top
R5,105.25,-106.5,180.0,top
R6,102.05,-104.5,180.0,top
R8,94.7,-103.0,180.0,top
RV1,93.1,-105.6,180.0,top
U1,100.0,-91.25,270.0,top
U2,107.0,-102.25,180.0,top
U3,97.5,-105.9,90.0,top
