Designator,Footprint,Quantity,Value,LCSC Part #
-9V1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TPM9,
9V1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP9,
"C1, C16, C3, C4, C5, C7",0402,6,100n,C307331
"C10, C11, C12, C13, C14, C15, C17",0402,7,1n C0G,C76947
"C101, C102, C103, C107, C112, C113, C114",0603,7,4u7,C19666
C115,0402,1,0.1p,C53273
"C2, C8, C9",0805,3,22u,C45783
C6,0402,1,10n,C15195
D102,TO-18-3,1,S597x,
D3,D_SOD-323F,1,D,C191023
"D4, D5, D6, D7",0603,4,LED,C72043
GND1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TPGND,
J101,MMCX_Molex_73415-1471_Vertical,1,Conn_Coaxial,C530664
J4,PinHeader_1x04_P2.54mm_Vertical,1,~,
"L1, L2, L3",0805,3,10u,C281113
L101,0805,1,47uH,C404762
PS1,Converter_DCDC_XP_POWER-ITQxxxxS-H_THT,1,WRA1209CS-3W,C512079
Q1,SOT-323_SC-70,1,BC857,C8660
R1,0402,1,10R,C25077
"R10, R8",0402,2,2.2k,C25879
"R101, R107",0603,2,51k,C23186
R102,0603,1,300R,C23025
R106,0402,1,49.9R,C25120
"R11, R15, R19",0402,3,100,C25076
R16,0402,1,100k,C25741
"R17, R20",0402,2,10k,C25744
R18,0603,1,1.5k,C22843
RF101,0402,1,5.1k,C351692
RV1,Potentiometer_Bourns_TC33X_Vertical,1,100k,C719186
"TP101, TP102",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,TestPoint,
U1,MSOP-8_3x3mm_P0.65mm,1,AD8656,C208582
U101,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,C69847
U102,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,1,LT3093xMSE,C670490
U103,WSON-8-1EP_3x3mm_P0.5mm_EP1.45x2.4mm,1,OPA818IDRGx,C2859543
U104,SOT-23-5,1,BUF602xDBV,C2862949
