Designator,Mid X,Mid Y,Rotation,Layer
C1,132.55,-95.5548,270.0,top
C10,147.775,-95.95,180.0,top
C101,151.25,-109.8,180.0,top
C102,150.25,-94.05,0.0,top
C103,144.3,-105.8,90.0,top
C107,148.25,-109.8,0.0,top
C11,148.625,-98.375,0.0,bottom
C112,154.829809,-100.9,70.0,top
C113,160.079809,-99.4,0.0,top
C114,156.029809,-92.5,45.0,top
C115,145.5,-102.95,0.0,top
C12,140.05,-103.15,90.0,top
C13,140.05,-100.5,90.0,top
C14,141.65,-94.6,180.0,top
C15,144.5,-97.6,270.0,top
C16,141.45,-99.45,0.0,top
C17,134.0,-103.95,270.0,top
C2,147.75,-119.25,90.0,top
C3,135.9,-102.05,270.0,top
C4,139.1,-103.15,270.0,top
C5,145.45,-97.6,270.0,top
C6,133.6,-95.55,90.0,top
C7,141.65,-93.65,180.0,top
C8,165.095,-96.4675,90.0,top
C9,169.3,-96.5,90.0,top
D102,150.02,-100.635,0.0,top
D3,144.75,-118.5,180.0,top
D4,167.1,-90.335,270.0,top
D5,163.2,-90.28,90.0,top
D6,138.45,-107.35,270.0,top
D7,153.35,-104.0,180.0,bottom
J101,143.15,-90.2,270.0,top
J4,141.56,-113.5,270.0,top
L1,149.86,-119.25,90.0,top
L101,150.4,-95.8,180.0,top
L2,167.395,-96.52,90.0,top
L3,163.2,-96.4875,90.0,top
PS1,158.818476,-109.301624,135.0,top
Q1,148.8,-104.2,0.0,top
R1,145.5,-101.0,0.0,top
R10,163.2,-92.855,270.0,top
R101,145.8,-105.8,90.0,top
R102,153.872962,-94.656847,225.0,top
R106,143.15,-93.7,270.0,top
R107,160.079809,-97.9,0.0,top
R11,136.45,-100.5,0.0,top
R15,151.05,-104.2,270.0,top
R16,138.4,-100.9,180.0,top
R17,136.95,-105.7,90.0,top
R18,139.25,-109.65,180.0,top
R19,134.65,-95.55,90.0,top
R20,138.4,-99.7,0.0,top
R8,167.1,-92.9,270.0,top
RF101,145.5,-102.0,0.0,top
RV1,133.6,-107.2,180.0,top
U1,133.6548,-99.7712,0.0,top
U101,149.75,-107.3,90.0,top
U102,156.829809,-95.9,315.0,top
U103,142.5,-101.75,180.0,top
U104,142.2,-97.0,90.0,top
